Name,BlockId,Col,Row,Name1,Name2,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Drug,DrugNum,Average,Dist,Inflection,Neighbor,MedianEffect,count,min,max,Experiment
Vincristine sulfate_2,2,10,8,Tazemetostat_1,Vincristine sulfate_2,0,0.039062,NA,1,0.0207049237968365,0.979295076203163,0.0207049237968365,47.29769043404,0.039062,2,0.0207049237968365,0.479295076203163,2,-1,TRUE,5,0.019531,0.15625,EOL1_ASSAY_ID_10946
Vincristine sulfate_2,2,10,7,Tazemetostat_1,Vincristine sulfate_2,0,0.078125,NA,1,0.0218213672814536,0.978178632718546,0.0218213672814536,44.8266426251814,0.078125,2,0.0218213672814536,0.478178632718546,2,-2,TRUE,5,0.019531,0.15625,EOL1_ASSAY_ID_10946
Vincristine sulfate_2,2,10,6,Tazemetostat_1,Vincristine sulfate_2,0,0.15625,NA,1,0.0180387599089968,0.981961240091003,0.0180387599089968,54.4361832545512,0.15625,2,0.0180387599089968,0.481961240091003,2,-3,TRUE,5,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,3,10,10,Tazemetostat_1,Topotecan hydrochloride_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,1,0.9999,0.4999,10,9,NA,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,3,5,10,Tazemetostat_1,Topotecan hydrochloride_2,1.25,0,NA,1,0.964674557803578,0.035325442196422,0.964674557803578,0.0366190254637303,1.25,1,0.964674557803578,0.464674557803578,10,4,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,3,4,10,Tazemetostat_1,Topotecan hydrochloride_2,2.5,0,NA,1,0.917834409338157,0.082165590661843,0.917834409338157,0.0895211487234304,2.5,1,0.917834409338157,0.417834409338157,10,3,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,3,3,10,Tazemetostat_1,Topotecan hydrochloride_2,5,0,NA,1,0.882608582381739,0.117391417618261,0.882608582381739,0.133005071513669,5,1,0.882608582381739,0.382608582381739,10,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,3,2,10,Tazemetostat_1,Topotecan hydrochloride_2,10,0,NA,1,0.914963181592594,0.0850368184074057,0.914963181592594,0.0929401533506406,10,1,0.914963181592594,0.414963181592594,10,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,3,1,10,Tazemetostat_1,Topotecan hydrochloride_2,20,0,NA,1,0.772963919897209,0.227036080102791,0.772963919897209,0.293721445799156,20,1,0.772963919897209,0.272963919897209,10,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Topotecan hydrochloride_2,3,10,10,Tazemetostat_1,Topotecan hydrochloride_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.019531,2,0.9999,0.4999,2,1,TRUE,5,0.039062,0.3125,EOL1_ASSAY_ID_10946
