Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,Vincristine sulfate_2,2,10,6,0.625,0.15625,NA,1,0.0180387599089968,0.981961240091003,0.0180387599089968,54.4361832545512,Vincristine sulfate_2,0.15625,2,1.25,20,0.019531,0.15625,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,10,10,0.625,0.019531,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,5,10,1.25,0.019531,NA,1,0.964674557803578,0.035325442196422,0.964674557803578,0.0366190254637303,Tazemetostat_1,1.25,1,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,4,10,2.5,0.019531,NA,1,0.917834409338157,0.082165590661843,0.917834409338157,0.0895211487234304,Tazemetostat_1,2.5,1,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,3,10,5,0.019531,NA,1,0.882608582381739,0.117391417618261,0.882608582381739,0.133005071513669,Tazemetostat_1,5,1,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,2,10,10,0.019531,NA,1,0.914963181592594,0.0850368184074057,0.914963181592594,0.0929401533506406,Tazemetostat_1,10,1,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,1,10,20,0.019531,NA,1,0.772963919897209,0.227036080102791,0.772963919897209,0.293721445799156,Tazemetostat_1,20,1,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,10,10,0.625,0.019531,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Topotecan hydrochloride_2,0,2,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,10,9,0.625,0.039062,NA,1,0.549388543466392,0.450611456533608,0.549388543466392,0.820205411802827,Topotecan hydrochloride_2,0.039062,2,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,10,8,0.625,0.078125,NA,1,0.166428673589467,0.833571326410533,0.166428673589467,5.00858000266661,Topotecan hydrochloride_2,0.078125,2,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,3,10,7,0.625,0.15625,NA,1,0.0304814505245151,0.969518549475485,0.0304814505245151,31.8068376928368,Topotecan hydrochloride_2,0.15625,2,1.25,20,0.039062,0.3125,EOL1_ASSAY_ID_10946
